datetime_utc,grid_consumption_kwh,grid_injection_kwh,battery_charge_kwh,battery_discharge_kwh,carbon_intensity_gco2_kwh,co2_with_g,co2_without_g,co2_saved_g
2026-01-15T00:00:00Z,20.470584,0.0,4.043931,0.0,391.367,8011.5112,6428.8501,-1582.6611
2026-01-15T00:15:00Z,21.475329,0.0,5.048317,0.0,397.764,8542.1127,6534.0741,-2008.0386
2026-01-15T00:30:00Z,22.609474,0.0,6.18176,1e-06,388.612,8786.3127,6384.0069,-2402.3058
2026-01-15T00:45:00Z,23.85412,0.0,7.425067,2e-06,381.99,9112.0354,6275.7346,-2836.3008
2026-01-15T01:00:00Z,25.1796,0.0,8.748057,6e-06,396.865,9992.9018,6521.1065,-3471.7953
2026-01-15T01:15:00Z,26.545932,0.0,10.10988,1.8e-05,399.328,10600.534,6563.3829,-4037.151
2026-01-15T01:30:00Z,27.904517,0.0,11.460512,5.2e-05,398.591,11122.4895,6554.4535,-4568.0361
2026-01-15T01:45:00Z,29.20109,0.0,12.743427,0.000145,395.916,11561.1787,6515.9093,-5045.2695
2026-01-15T02:00:00Z,30.379803,0.0,13.899324,0.000385,396.998,12060.7209,6542.8697,-5517.8513
2026-01-15T02:15:00Z,31.388119,0.0,14.870579,0.000978,398.597,12511.21,6584.2318,-5926.9782
2026-01-15T02:30:00Z,32.182012,0.0,15.605987,0.002382,399.004,12840.7517,6614.8509,-6225.9008
2026-01-15T02:45:00Z,32.730849,0.0,16.065255,0.005552,397.454,13009.0067,6626.0135,-6382.9932
2026-01-15T03:00:00Z,33.021237,0.0,16.222705,0.012393,385.201,12719.8134,6475.585,-6244.2284
2026-01-15T03:15:00Z,33.059163,0.0,16.069716,0.026487,379.653,12551.0104,6460.1503,-6090.8601
2026-01-15T03:30:00Z,32.869817,0.0,15.615605,0.054206,383.04,12590.4545,6629.8165,-5960.638
2026-01-15T03:45:00Z,32.494759,0.0,14.88682,0.106223,401.069,13032.6406,7104.6014,-5928.0392
2026-01-15T04:00:00Z,31.986452,0.0,13.924576,0.199314,388.45,12425.1373,7093.5593,-5331.5781
2026-01-15T04:15:00Z,31.400654,0.0,12.781236,0.358103,380.753,11955.8933,7225.7483,-4730.145
2026-01-15T04:30:00Z,30.787796,0.0,11.515908,0.616067,381.047,11731.5972,7578.2454,-4153.3517
2026-01-15T04:45:00Z,29.765943,0.0,10.189814,1.014841,389.928,11606.5747,8028.9961,-3577.5786
2026-01-15T05:00:00Z,29.099603,0.0,8.86194,1.600732,401.171,11673.9169,8760.9308,-2912.9861
2026-01-15T05:15:00Z,28.444021,0.0,7.585445,2.41763,391.702,11141.58,9117.3365,-2024.2435
2026-01-15T05:30:00Z,27.780831,0.0,6.405104,3.496321,393.613,10934.8961,9789.9615,-1144.9346
2026-01-15T05:45:00Z,27.086286,0.0,5.35595,4.841537,399.664,10825.4134,10619.8211,-205.5923
2026-01-15T06:00:00Z,26.344074,0.0,4.463066,6.419565,393.949,10378.2218,11148.9825,770.7607
2026-01-15T06:15:00Z,25.557493,0.0,3.742359,8.150389,399.69,10215.0743,11976.9196,1761.8453
2026-01-15T06:30:00Z,24.756751,0.0,3.20205,9.908354,399.292,9885.1725,12562.9462,2677.7737
2026-01-15T06:45:00Z,23.998074,0.0,2.844563,11.533873,412.919,9909.2608,13497.2424,3587.9816
2026-01-15T07:00:00Z,23.353669,0.0,2.668514,12.855806,406.537,9494.1304,13635.6418,4141.5114
2026-01-15T07:15:00Z,22.894775,0.0,2.670532,13.720628,413.503,9467.0583,14036.3062,4569.248
2026-01-15T07:30:00Z,22.672816,0.0,2.846713,14.021657,398.639,9038.2688,13493.0373,4454.7685
2026-01-15T07:45:00Z,22.704779,0.0,3.193595,13.720679,408.89,9283.757,13588.1764,4304.4194
2026-01-15T08:00:00Z,22.967869,0.0,3.708606,12.855925,405.392,9310.9902,13019.2401,3708.2499
2026-01-15T08:15:00Z,23.405401,0.0,4.390009,11.534096,396.863,9288.7378,12123.9614,2835.2236
2026-01-15T08:30:00Z,23.942044,0.0,5.236417,9.908748,385.883,9238.8277,11041.8006,1802.9729
2026-01-15T08:45:00Z,24.503429,0.0,6.245965,8.151065,381.918,9358.3004,10085.8926,727.5921
2026-01-15T09:00:00Z,25.033983,0.0,7.415275,6.420707,390.53,9776.5215,9388.1129,-388.4086
2026-01-15T09:15:00Z,25.507905,0.0,8.738334,4.843441,367.679,9378.7209,7946.6505,-1432.0704
2026-01-15T09:30:00Z,25.930893,0.0,10.205394,3.499452,375.509,9737.2838,7219.1422,-2518.1416
2026-01-15T09:45:00Z,26.333396,0.0,11.80203,2.422711,368.073,9692.612,6240.3378,-3452.2742
2026-01-15T10:00:00Z,26.758466,0.0,13.508437,1.608873,348.295,9319.84,5175.2814,-4144.5587
2026-01-15T10:15:00Z,27.248299,0.0,15.299056,1.027716,360.224,9815.4912,4674.6121,-5140.8791
2026-01-15T10:30:00Z,27.832988,0.0,17.14259,0.636169,340.774,9484.7586,3859.7994,-5624.9592
2026-01-15T10:45:00Z,28.523659,0.0,19.00244,0.389085,346.7,9889.1525,3435.9023,-6453.2502
2026-01-15T11:00:00Z,29.310482,0.0,20.837573,0.246452,324.2,9502.4583,2826.8168,-6675.6415
