datetime_utc,grid_consumption_kwh,grid_injection_kwh,battery_charge_kwh,battery_discharge_kwh,carbon_intensity_gco2_kwh,co2_with_g,co2_without_g,co2_saved_g
2026-01-01T00:00:00Z,11.087504,0.0,9.25695,0.0,344.231,3816.6625,630.1333,-3186.5293
2026-01-01T00:15:00Z,13.38668,0.0,11.556087,0.0,353.99,4738.751,648.0118,-4090.7392
2026-01-01T00:30:00Z,15.981319,0.0,14.150648,1e-06,343.613,5491.3888,629.0426,-4862.3462
2026-01-01T00:45:00Z,18.827517,0.0,16.9967,4e-06,349.7,6583.9826,640.2382,-5943.7445
2026-01-01T01:00:00Z,21.856238,0.0,20.025152,1.3e-05,359.712,7861.951,658.6683,-7203.2827
2026-01-01T01:15:00Z,24.974061,0.0,23.142497,3.9e-05,350.914,8763.7476,642.7351,-8121.0125
2026-01-01T01:30:00Z,28.066604,0.0,26.234224,0.000113,357.02,10020.339,654.2367,-9366.1023
2026-01-01T01:45:00Z,31.004654,0.0,29.170942,0.000313,346.174,10733.0053,634.8919,-10098.1134
2026-01-01T02:00:00Z,33.652666,0.0,31.816903,0.000831,353.67,11901.9384,649.5484,-11252.39
2026-01-01T02:15:00Z,35.878876,0.0,34.040198,0.002114,361.158,12957.943,664.8163,-12293.1266
2026-01-01T02:30:00Z,37.565937,0.0,35.723618,0.005146,351.491,13204.0888,649.3672,-12554.7216
2026-01-01T02:45:00Z,38.620732,0.0,36.774928,0.011995,357.122,13792.313,663.461,-13128.852
2026-01-01T03:00:00Z,38.981947,0.0,37.135346,0.026775,360.908,14068.8965,676.1164,-13392.7802
2026-01-01T03:15:00Z,38.624136,0.0,36.78514,0.057226,361.477,13961.7367,685.4406,-13276.2962
2026-01-01T03:30:00Z,37.557336,0.0,35.745635,0.117115,353.557,13278.6591,681.9463,-12596.7128
2026-01-01T03:45:00Z,35.821909,0.0,34.077376,0.229498,352.494,12627.008,695.8341,-11931.1739
2026-01-01T04:00:00Z,33.479073,0.0,31.874707,0.430624,353.426,11832.375,719.2186,-11113.1564
2026-01-01T04:15:00Z,30.598615,0.0,29.257489,0.773691,352.726,10792.927,745.951,-10046.976
2026-01-01T04:30:00Z,27.246276,0.0,26.361031,1.331029,355.402,9683.3809,787.6682,-8895.7126
2026-01-01T04:45:00Z,23.474193,0.0,23.325472,2.192592,357.809,8399.2775,837.7429,-7561.5346
2026-01-01T05:00:00Z,19.317984,0.0,20.285842,3.458426,361.353,6980.6116,899.9746,-6080.637
2026-01-01T05:15:00Z,14.803331,0.0,17.36382,5.223356,366.222,5421.3054,975.2003,-4446.105
2026-01-01T05:30:00Z,9.962831,0.0,14.661904,7.553898,353.464,3521.502,1009.0778,-2512.4242
2026-01-01T05:45:00Z,4.860666,0.0,12.260289,10.460273,368.693,1792.0935,1128.4405,-663.653
2026-01-01T06:00:00Z,0.0,0.38105,10.216391,13.869646,359.115,-136.8408,1175.0978,1311.9385
2026-01-01T06:15:00Z,0.0,5.563126,8.566624,17.609139,365.22,-2031.7647,1270.7427,3302.5075
2026-01-01T06:30:00Z,0.0,10.406603,7.329803,21.407272,368.931,-3839.3183,1354.2963,5193.6146
2026-01-01T06:45:00Z,0.0,14.572734,6.51148,24.919251,359.401,-5237.4552,1378.3161,6615.7712
2026-01-01T07:00:00Z,0.0,17.705642,6.108487,27.775322,369.526,-6542.6949,1463.7642,8006.4591
2026-01-01T07:15:00Z,0.0,19.490019,6.113107,29.643794,358.39,-6985.0279,1448.1352,8433.163
2026-01-01T07:30:00Z,0.0,19.709959,6.516403,30.294176,369.033,-7273.6252,1501.1575,8774.7827
2026-01-01T07:45:00Z,0.0,18.292785,7.31045,29.643905,360.142,-6588.0001,1455.215,8043.2152
2026-01-01T08:00:00Z,0.0,15.325021,8.489359,27.775578,361.486,-5539.7807,1431.9176,6971.6984
2026-01-01T08:15:00Z,0.0,11.035529,10.049158,24.919731,366.612,-4045.7574,1405.9734,5451.7307
2026-01-01T08:30:00Z,0.0,5.750574,11.986667,21.408121,365.313,-2100.7594,1341.0203,3441.7797
2026-01-01T08:45:00Z,0.166435,0.0,14.297619,17.6106,354.618,59.0208,1233.8634,1174.8426
2026-01-01T09:00:00Z,6.374421,0.0,16.974285,13.872114,347.017,2212.0324,1135.5266,-1076.5058
2026-01-01T09:15:00Z,12.599239,0.0,20.002894,10.464387,342.147,4310.7918,1047.22,-3263.5718
2026-01-01T09:30:00Z,18.65544,0.0,23.361137,7.560662,343.292,6404.2632,980.0863,-5424.1769
2026-01-01T09:45:00Z,24.444762,0.0,27.015993,5.234334,328.462,8029.1755,874.7282,-7154.4473
2026-01-01T10:00:00Z,29.937075,0.0,30.922124,3.476015,321.726,9631.5354,801.4085,-8830.1269
2026-01-01T10:15:00Z,35.142584,0.0,35.021024,2.220409,311.732,10955.0681,730.0668,-10225.0013
2026-01-01T10:30:00Z,40.083936,0.0,39.241052,1.37446,316.503,12686.6861,701.7962,-11984.89
2026-01-01T10:45:00Z,44.774339,0.0,43.498429,0.840628,312.481,13991.1301,661.3779,-13329.7522
2026-01-01T11:00:00Z,49.204479,0.0,47.699228,0.532467,293.055,14419.6186,597.1635,-13822.4551
2026-01-01T11:15:00Z,53.338106,0.0,51.742274,0.382461,294.9,15729.4075,583.3986,-15146.0088
2026-01-01T11:30:00Z,57.114318,0.0,55.522845,0.34391,291.493,16648.4239,564.1504,-16084.2735
2026-01-01T11:45:00Z,60.453981,0.0,58.936962,0.389177,277.499,16775.9194,528.9678,-16246.9516
2026-01-01T12:00:00Z,63.26792,0.0,61.886009,0.506405,288.796,18271.5222,545.338,-17726.1842
2026-01-01T12:15:00Z,65.465151,0.0,64.281405,0.696112,283.8,18579.01,533.504,-18045.506
