datetime_utc,grid_consumption_kwh,grid_injection_kwh,battery_charge_kwh,battery_discharge_kwh,carbon_intensity_gco2_kwh,co2_with_g,co2_without_g,co2_saved_g
2026-02-01T00:00:00Z,7.581925,0.0,2.039404,0.0,229.709,1741.6364,1273.1669,-468.4695
2026-02-01T00:15:00Z,8.08857,0.0,2.545928,0.0,226.452,1831.6728,1255.1423,-576.5305
2026-02-01T00:30:00Z,8.660416,0.0,3.117537,0.0,231.553,2005.3452,1283.4702,-721.8751
2026-02-01T00:45:00Z,9.287883,0.0,3.744553,1e-06,227.882,2116.5413,1263.2253,-853.3159
2026-02-01T01:00:00Z,9.955922,0.0,4.411753,3e-06,233.855,2328.2421,1296.5324,-1031.7097
2026-02-01T01:15:00Z,10.644226,0.0,5.098537,9e-06,238.421,2537.8069,1322.2108,-1215.596
2026-02-01T01:30:00Z,11.328044,0.0,5.779677,2.6e-05,233.742,2647.8395,1296.8925,-1350.947
2026-02-01T01:45:00Z,11.979626,0.0,6.426667,7.3e-05,233.284,2794.655,1295.4336,-1499.2214
2026-02-01T02:00:00Z,12.570216,0.0,7.0096,0.000195,227.504,2859.7745,1265.1069,-1594.6677
2026-02-01T02:15:00Z,13.072436,0.0,7.499416,0.000496,229.812,3004.2027,1280.861,-1723.3417
2026-02-01T02:30:00Z,13.462807,0.0,7.870291,0.001208,235.676,3172.8605,1318.3065,-1854.554
2026-02-01T02:45:00Z,13.724105,0.0,8.101905,0.002815,231.37,3175.3462,1301.4597,-1873.8865
2026-02-01T03:00:00Z,13.847203,0.0,8.181309,0.006284,232.418,3218.3393,1318.3162,-1900.0231
2026-02-01T03:15:00Z,13.832075,0.0,8.104155,0.013431,232.313,3213.3707,1333.7902,-1879.5805
2026-02-01T03:30:00Z,13.687692,0.0,7.875141,0.027486,229.766,3144.9663,1341.842,-1803.1244
2026-02-01T03:45:00Z,13.430684,0.0,7.507606,0.053862,230.012,3089.2185,1374.7678,-1714.4507
2026-02-01T04:00:00Z,13.082783,0.0,7.022335,0.101064,226.176,2959.0114,1393.5862,-1565.4253
2026-02-01T04:15:00Z,12.667364,0.0,6.445734,0.18158,235.166,2978.9333,1505.8172,-1473.1161
2026-02-01T04:30:00Z,12.20563,0.0,5.807614,0.312383,235.157,2870.2393,1577.9973,-1292.2419
2026-02-01T04:45:00Z,11.03669,0.0,5.138848,0.514586,237.733,2623.7854,1524.4457,-1099.3397
2026-02-01T05:00:00Z,10.373417,0.0,4.469185,0.811668,236.83,2456.7364,1590.5267,-866.2098
2026-02-01T05:15:00Z,9.662239,0.0,3.825433,1.225885,238.788,2307.2267,1686.4857,-620.741
2026-02-01T05:30:00Z,8.896635,0.0,3.230172,1.772846,239.748,2132.9503,1783.5594,-349.391
2026-02-01T05:45:00Z,8.071001,0.0,2.701071,2.454952,234.725,1894.4657,1836.6954,-57.7703
2026-02-01T06:00:00Z,7.187098,0.0,2.250779,3.255108,239.405,1720.6272,1961.0685,240.4413
2026-02-01T06:15:00Z,6.259689,0.0,1.887318,4.13274,243.476,1524.0841,2070.7906,546.7065
2026-02-01T06:30:00Z,5.319223,0.0,1.614833,5.024135,243.685,1296.2148,2127.0106,830.7958
2026-02-01T06:45:00Z,4.409949,0.0,1.434548,5.848372,236.925,1044.8272,2090.5725,1045.7452
2026-02-01T07:00:00Z,3.583169,0.0,1.345764,6.518672,233.875,838.0136,2047.8273,1209.8137
2026-02-01T07:15:00Z,2.886975,0.0,1.346782,6.957189,239.433,691.237,2034.5535,1343.3165
2026-02-01T07:30:00Z,2.355284,0.0,1.435632,7.109829,234.527,552.3777,1883.1299,1330.7522
2026-02-01T07:45:00Z,1.999508,0.0,1.610569,6.957215,234.464,468.8126,1722.4084,1253.5958
2026-02-01T08:00:00Z,1.80557,0.0,1.870295,6.518732,240.158,433.6221,1549.9813,1116.3591
2026-02-01T08:15:00Z,1.737332,0.0,2.213936,5.848485,236.804,411.4071,1272.0828,860.6757
2026-02-01T08:30:00Z,1.745395,0.0,2.640789,5.024335,236.989,413.6395,978.5134,564.874
2026-02-01T08:45:00Z,1.778601,0.0,3.149917,4.133083,225.509,401.0906,622.8035,221.7129
2026-02-01T09:00:00Z,1.79485,0.0,3.739614,3.255687,226.139,405.8857,296.4508,-109.4348
2026-02-01T09:15:00Z,1.768416,0.0,4.406849,2.455918,226.546,400.6276,-41.3482,-441.9757
2026-02-01T09:30:00Z,1.692302,0.0,5.146706,1.774434,226.335,383.0271,-380.236,-763.2631
2026-02-01T09:45:00Z,1.575848,0.0,5.951909,1.228461,218.029,343.5806,-686.2679,-1029.8486
2026-02-01T10:00:00Z,1.439083,0.0,6.812471,0.815796,217.961,313.664,-993.3773,-1307.0412
2026-02-01T10:15:00Z,1.305868,0.0,7.715502,0.521114,206.893,270.175,-1218.2934,-1488.4684
