datetime_utc,grid_consumption_kwh,grid_injection_kwh,battery_charge_kwh,battery_discharge_kwh,carbon_intensity_gco2_kwh,co2_with_g,co2_without_g,co2_saved_g
2026-03-01T00:00:00Z,2.680511,0.0,0.552624,0.0,216.616,580.6416,460.9344,-119.7072
2026-03-01T00:15:00Z,2.817812,0.0,0.689878,0.0,217.393,612.5726,462.5979,-149.9747
2026-03-01T00:30:00Z,2.972794,0.0,0.844769,0.0,207.484,616.8071,441.5311,-175.2761
2026-03-01T00:45:00Z,3.142872,0.0,1.014674,0.0,209.695,659.0445,446.2726,-212.7719
2026-03-01T01:00:00Z,3.323987,0.0,1.195467,1e-06,214.385,712.6131,456.3231,-256.29
2026-03-01T01:15:00Z,3.510672,0.0,1.381567,2e-06,211.31,741.84,449.9016,-291.9384
2026-03-01T01:30:00Z,3.696273,0.0,1.566138,7e-06,213.31,788.452,454.3806,-334.0714
2026-03-01T01:45:00Z,3.873359,0.0,1.741455,1.9e-05,208.355,807.0337,444.1968,-362.8369
2026-03-01T02:00:00Z,4.034274,0.0,1.899414,4.9e-05,218.152,880.085,465.7348,-414.3502
2026-03-01T02:15:00Z,4.171803,0.0,2.032141,0.000125,208.959,871.7358,447.1278,-424.608
2026-03-01T02:30:00Z,4.279879,0.0,2.132638,0.000305,218.872,936.7456,470.0375,-466.7081
2026-03-01T02:45:00Z,4.354248,0.0,2.195399,0.00071,208.645,908.4921,450.5811,-457.911
2026-03-01T03:00:00Z,4.392996,0.0,2.216916,0.001585,217.013,953.3373,472.5817,-480.7556
2026-03-01T03:15:00Z,4.396844,0.0,2.196009,0.003387,218.081,958.8681,480.6989,-478.1692
2026-03-01T03:30:00Z,4.369131,0.0,2.133952,0.006932,207.607,907.0621,465.4777,-441.5844
2026-03-01T03:45:00Z,4.315447,0.0,2.03436,0.013583,215.4,929.5472,494.2718,-435.2754
2026-03-01T04:00:00Z,4.242909,0.0,1.902865,0.025487,219.297,930.4571,518.7538,-411.7033
2026-03-01T04:15:00Z,4.159153,0.0,1.746621,0.045792,215.967,898.2398,530.9167,-367.323
2026-03-01T04:30:00Z,4.071189,0.0,1.573708,0.078779,211.073,859.3181,543.7789,-315.5392
2026-03-01T04:45:00Z,3.849928,0.0,1.39249,0.129771,208.612,803.1411,539.7228,-263.4183
2026-03-01T05:00:00Z,3.737558,0.0,1.21103,0.204691,208.638,779.7967,569.8362,-209.9604
2026-03-01T05:15:00Z,3.624201,0.0,1.03659,0.309151,217.531,788.376,630.1354,-158.2406
2026-03-01T05:30:00Z,3.507461,0.0,0.87529,0.447087,209.667,735.3987,645.6186,-89.7802
2026-03-01T05:45:00Z,3.384125,0.0,0.731918,0.619104,219.336,742.2604,717.5162,-24.7442
2026-03-01T06:00:00Z,3.251807,0.0,0.609901,0.820892,219.433,713.5537,759.852,46.2984
