country,iso3,region,co2_mt,population_millions,co2_per_capita_t,share_global_pct
China,CHN,Asia Pacific,11397,1412,8.07,30.68
United States,USA,North America,5057,333,15.19,13.61
India,IND,Asia Pacific,2830,1417,2,7.62
Russia,RUS,Eurasia,1652,144,11.47,4.45
Japan,JPN,Asia Pacific,1083,125,8.66,2.92
Iran,IRN,Middle East,749,88,8.51,2.02
Indonesia,IDN,Asia Pacific,692,275,2.52,1.86
Germany,DEU,Europe,666,84,7.93,1.79
South Korea,KOR,Asia Pacific,616,51.7,11.91,1.66
Saudi Arabia,SAU,Middle East,607,36,16.86,1.63
Canada,CAN,North America,575,38.5,14.94,1.55
Brazil,BRA,South America,489,215,2.27,1.32
Mexico,MEX,North America,487,128,3.8,1.31
Turkey,TUR,Europe,452,85,5.32,1.22
South Africa,ZAF,Africa,435,60,7.25,1.17
Australia,AUS,Asia Pacific,391,26,15.04,1.05
Vietnam,VNM,Asia Pacific,327,98,3.34,0.88
United Kingdom,GBR,Europe,322,67,4.81,0.87
Italy,ITA,Europe,317,59,5.37,0.85
France,FRA,Europe,302,68,4.44,0.81
Poland,POL,Europe,285,37,7.7,0.77
Thailand,THA,Asia Pacific,283,71,3.99,0.76
Kazakhstan,KAZ,Eurasia,277,19.6,14.13,0.75
Malaysia,MYS,Asia Pacific,251,33,7.61,0.68
Egypt,EGY,Africa,249,110,2.26,0.67
Spain,ESP,Europe,241,47,5.13,0.65
United Arab Emirates,ARE,Middle East,235,9.4,25,0.63
Pakistan,PAK,Asia Pacific,218,235,0.93,0.59
Argentina,ARG,South America,195,46,4.24,0.52
Iraq,IRQ,Middle East,194,43,4.51,0.52
Algeria,DZA,Africa,177,45,3.93,0.48
Philippines,PHL,Asia Pacific,150,115,1.3,0.4
Netherlands,NLD,Europe,137,17.6,7.78,0.37
Ukraine,UKR,Europe,130,38,3.42,0.35
Nigeria,NGA,Africa,126,218,0.58,0.34
Bangladesh,BGD,Asia Pacific,110,171,0.64,0.3
Qatar,QAT,Middle East,100,2.7,37.04,0.27
Colombia,COL,South America,96,52,1.85,0.26
Czechia,CZE,Europe,96,10.5,9.14,0.26
Belgium,BEL,Europe,96,11.6,8.28,0.26
Chile,CHL,South America,85,19.6,4.34,0.23
Singapore,SGP,Asia Pacific,56,5.9,9.49,0.15
Norway,NOR,Europe,39,5.4,7.22,0.1
Sweden,SWE,Europe,38,10.5,3.62,0.1
Rest of World,ROW,Other,3840,1766,2.17,10.34
