year,China,United States,European Union,India,Russia,Japan,Rest of World
1950,80,2300,1620,50,820,110,1020
1951,150,2360,1693,58,874,143,1062
1952,220,2420,1766,65,928,175,1106
1953,290,2480,1839,73,982,208,1148
1954,360,2540,1912,80,1036,240,1192
1955,430,2600,1985,88,1090,273,1234
1956,500,2660,2058,95,1144,305,1278
1957,570,2720,2131,103,1198,338,1320
1958,640,2780,2204,110,1252,370,1364
1959,710,2840,2277,118,1306,403,1406
1960,780,2900,2350,125,1360,435,1450
1961,782,3040,2425,133,1414,468,1688
1962,784,3180,2500,140,1468,500,1928
1963,786,3320,2575,148,1522,533,2166
1964,788,3460,2650,155,1576,565,2406
1965,790,3600,2725,163,1630,598,2644
1966,792,3740,2800,170,1684,630,2884
1967,794,3880,2875,178,1738,663,3122
1968,796,4020,2950,185,1792,695,3362
1969,798,4160,3025,193,1846,728,3600
1970,800,4300,3100,200,1900,760,3840
1971,865,4345,3147,210,1937,776,4080
1972,930,4390,3193,220,1973,792,4322
1973,995,4435,3240,230,2010,808,4562
1974,1060,4480,3287,240,2047,824,4802
1975,1125,4525,3333,250,2083,840,5044
1976,1190,4570,3380,260,2120,856,5284
1977,1255,4615,3427,270,2157,872,5524
1978,1320,4660,3473,280,2193,888,5766
1979,1385,4705,3520,290,2230,904,6006
1980,1450,4750,3532,300,2267,920,6281
1981,1547,4785,3544,330,2303,936,6375
1982,1644,4820,3555,360,2340,952,6469
1983,1741,4855,3567,390,2377,968,6562
1984,1838,4890,3579,420,2413,984,6656
1985,1935,4925,3591,450,2450,1000,6749
1986,2032,4960,3603,480,2470,1016,6859
1987,2129,4995,3615,510,2490,1032,6969
1988,2226,5030,3626,540,2510,1048,7080
1989,2323,5065,3638,570,2530,1064,7190
1990,2420,5100,3650,600,2550,1080,7300
1991,2533,5177,3632,638,2375,1090,7530
1992,2646,5254,3614,676,2200,1100,7760
1993,2759,5331,3596,714,2088,1110,7927
1994,2872,5408,3578,752,1977,1120,8093
1995,2985,5485,3560,790,1865,1130,8260
1996,3098,5562,3542,828,1753,1140,8427
1997,3211,5639,3524,866,1642,1150,8593
1998,3324,5716,3506,904,1530,1160,8760
1999,3437,5793,3488,942,1545,1170,8800
2000,3550,5870,3470,980,1560,1180,8840
2001,4020,5907,3480,1048,1569,1185,9026
2002,4490,5944,3490,1116,1578,1191,9211
2003,4960,5981,3500,1184,1587,1196,9397
2004,5430,6019,3510,1252,1596,1202,9581
2005,5900,6056,3520,1320,1605,1207,9767
2006,6426,6093,3530,1388,1614,1212,9897
2007,6952,6130,3540,1456,1623,1218,10026
2008,7478,5987,3550,1524,1632,1223,10336
2009,8004,5843,3355,1592,1641,1228,10852
2010,8530,5700,3160,1660,1650,1234,11366
2011,8940,5630,3120,1744,1653,1239,11414
2012,9350,5560,3080,1828,1657,1245,11460
2013,9760,5490,3040,1912,1660,1250,11508
2014,9865,5420,3000,1996,1663,1227,11889
2015,9970,5350,2960,2080,1667,1203,12270
2016,10153,5328,2903,2178,1670,1180,12488
2017,10335,5305,2845,2275,1673,1157,12710
2018,10518,5283,2788,2373,1677,1133,12928
2019,10700,5260,2730,2470,1680,1110,13150
2020,10900,4710,2530,2380,1671,1030,12079
2021,11149,5030,2555,2605,1661,1057,13063
2022,11397,5057,2580,2830,1652,1083,12551
